"name","nms.score.EE","nms.score.RE","nms.score.avg"
"NFIC",9,9,9
"SAFB",7.39190899502598,0.874380007207192,4.13314450111659
"CHCHD3",4.74155640307927,2.46627542696006,3.60391591501967
"CHAMP1",4.54154195617977,2.62082617516862,3.5811840656742
"SON",1.83262095046761,5.19102491093535,3.51182293070148
"FOXO3",4.43528770073022,1.2769146696861,2.85610118520816
"HMGN3",2.50208509608945,3.1836536383981,2.84286936724378
"MEF2D",3.99354100078772,1.61076710304426,2.80215405191599
"HES1",4.35350530684739,0.800513854534563,2.57700958069098
"PITX3",3.90636753539638,0.872722677828673,2.38954510661252
"TFEB",0.974054108025065,3.23294280321113,2.1034984556181
"CIC",2.76454813220223,1.37942513979578,2.07198663599901
"NFYA",0.0179302036364862,4.12228098669285,2.07010559516467
"NFIB",1.67946661442267,2.36209851885425,2.02078256663846
"FOXO1",1.92752359590213,1.63336241440989,1.78044300515601
"HIVEP2",1.81105502466041,1.72272710994259,1.7668910673015
"SPEN",0.728394806283527,2.68872740191315,1.70856110409834
"KAT7",2.40346281051292,0.924970622196993,1.66421671635496
"LBX1",1.46813643106536,1.72627841966956,1.59720742536746
"ZNF318",2.10656980238685,1.01548160638411,1.56102570438548
"CEBPB",1.41599863998906,1.62597057647747,1.52098460823327
"RXRA",0.115030102465589,2.8499604345078,1.48249526848669
"CC2D1A",0.218978401497511,2.57544494193624,1.39721167171688
"HBP1",1.72673894084796,0.887229745709279,1.30698434327862
"MEF2A",1.00259727933521,1.53480629975682,1.26870178954602
"CAR 18:1;OH",1.69003959213812,0.730099917628154,1.21006975488314
"PC 37:5",2.24735049053304,0,1.12367524526652
"NFIX",0.68598718202557,1.55466362136398,1.12032540169478
"YBX3",1.14360867511296,0.920436303752997,1.03202248943298
"SOX6",0.954787473401775,1.09263376378868,1.02371061859523
"NCOA1",1.79959382061395,0.212321394023391,1.00595760731867
"Eicosenoic acid",0.160661557523497,1.82089764463534,0.990779601079417
"Hypoxanthine",0.00816724568781618,1.92471831034356,0.966442778015687
"PC O-35:2",1.89759386535788,0,0.948796932678939
"ST 24:2;O4",1.44600704715139,0.393327980470827,0.91966751381111
"STAT5B",1.55519655065902,0.266909582749823,0.911053066704422
"CAR 18:2",1.81602626442603,0,0.908013132213014
"PURB",1.5571506966757,0.20561052865661,0.881380612666156
"GTF2I",0.00816724568781618,1.74812326689551,0.878145256291661
"BCL6",0.874373239502092,0.862334835197716,0.868354037349904
"TRAFD1",0.628715358752858,1.1013496296108,0.865032494181831
"NFIA",0.176716630402337,1.51800160128218,0.847359115842258
"PC 16:0_20:4",1.68483621291792,0,0.842418106458958
"AR",0.16616985439863,1.50571521723154,0.835942535815083
"Inosine",0,1.64620913990607,0.823104569953033
"Malic acid",0.0151154994819284,1.59595410162192,0.805534800551925
"TG 50:3",1.49194392890873,0,0.745971964454363
"FOXK2",0.268821985336451,1.19930489675526,0.734063441045856
"TG 16:0_18:2_22:6",1.45404291459142,0,0.727021457295711
"CAR 20:3",1.41705373543915,0,0.708526867719575
"CASZ1",0.134838010242125,1.27933964282392,0.707088826533025
"TG 50:4",1.38084725227787,0,0.690423626138935
"PC 37:1",1.33875337488921,0,0.669376687444607
"SP4",1.06675099216239,0.262761571113741,0.664756281638064
"ADNP",0.0704648638554639,1.23979590954719,0.655130386701325
"Monoethylglycinexylidide",0,1.30499371730749,0.652496858653744
"NFATC1",0.425382723698609,0.877225707026129,0.651304215362369
"FOXK1",1.13055420727358,0.15489654515427,0.642725376213925
"AHDC1",0.45877422543854,0.741846025816238,0.600310125627389
"CAR 12:2",0,1.19459237999034,0.597296189995169
"TEAD3",1.16090113336007,0.0209182136472681,0.590909673503668
"CAR DC6:0",1.16147399037782,0.0143821143752982,0.587928052376559
"NME2",0.117576600821263,1.04400223071183,0.580789415766549
"SM 18:1;O2/17:0",1.13782619603991,0,0.568913098019954
"DR1",1.08935484454011,0.0477978393407732,0.56857634194044
"TMF1",0.690872178822316,0.406869385655477,0.548870782238897
"MEF2C",0.509506423348768,0.55706561215729,0.533286017753029
"KET",0.899511182546589,0.141542891253204,0.520527036899897
"RORA",0.854403924184619,0.160369320341618,0.507386622263119
"TG 44:2",1.00963903918843,0,0.504819519594214
"N-Acetylhistidine",0.941787289201315,0,0.470893644600658
"CAR 4:0;OH",0.88614815359336,0.0442534187856397,0.4652007861895
"NR3C1",0.762869567714299,0.165598405549914,0.464233986632107
"TCF12",0.816664471926724,0.09770892249247,0.457186697209597
"MECP2",0.562983397862413,0.341761308393363,0.452372353127888
"Sebacic acid",0,0.899046023031757,0.449523011515878
"LPC 18:0/0:0",0,0.887871589063494,0.443935794531747
"CAR 3:0",0,0.861485970512628,0.430742985256314
"ZNF148",0.207203350938995,0.623057999993306,0.41513067546615
"TG 48:5",0.803598610155155,0,0.401799305077577
"2-Hydroxybutyric acid",0.752213656902292,0.0452593551905119,0.398736506046402
"Octadecatrienoic acid",0,0.752669092113479,0.376334546056739
"TCF4",0.0983687554222445,0.653841434006778,0.376105094714511
"LPC 0:0/18:1",0,0.732548821877336,0.366274410938668
"TG 49:1",0.0159687938075212,0.71396428168127,0.364966537744396
"BAZ2A",0.510247236891296,0.187947306006905,0.349097271449101
"ZNF592",0.525107298565655,0.146898912499472,0.336003105532563
"3-Hydroxybutyric acid",0.640793583218123,0.0267908104285993,0.333792196823361
"TG 44:1",0,0.655870908442372,0.327935454221186
"YBX1",0.554190782703962,0.0954234759794853,0.324807129341724
"TG 47:1",0,0.646716462355658,0.323358231177829
"RREB1",0.493950261734219,0.127826778986737,0.310888520360478
"FOXJ3",0.427523244986343,0.176409006023382,0.301966125504863
"MGA",0.265024399289872,0.316811126159799,0.290917762724836
"TG 12:0_14:0_16:0",0.0356046084409352,0.533756083851142,0.284680346146039
"TG 47:3",0.0159687938075212,0.546768505524887,0.281368649666204
"ZBTB20",0.400785268940166,0.1574843432469,0.279134806093533
"ZNF462",0.44831497692876,0.104885481479232,0.276600229203996
"ZNF652",0.114054584750654,0.438400219742547,0.2762274022466
"NFX1",0.117320590428887,0.430759447222213,0.27404001882555
"FA 22:3;O",0,0.5473511693825,0.27367558469125
"ZHX2",0.440709321407118,0.0973291012379068,0.269019211322512
"ANKZF1",0.15544136683794,0.36459497303851,0.260018169938225
"KLF3",0.272614646287246,0.246508133428544,0.259561389857895
"ZBTB16",0.373206704463502,0.142734835905507,0.257970770184505
